student_id,age,gender,department,semester,attendance_pct,assignment_avg,assignment_completion_pct,quiz_avg,quiz_attempts,study_hours_week,participation_score,lms_login_count,lms_active_days,resources_accessed,video_completion_pct,previous_gpa,previous_failures,late_assignments,discussion_participation,support_requested,midterm_score,final_score,performance_level,risk_level
STU100001,22,Male,ECE,5,66.1,74.9,44.8,60.1,12,15.5,68.3,23,18.0,33,62.9,6.77,0,4,9.0,Yes,57.1,58.5,Average,Medium
STU100002,18,Female,ECE,8,89.1,59.8,69.1,54.5,12,11.4,63.6,20,13.0,35,69.9,5.17,1,0,14.0,No,71.8,65.2,Good,Low
STU100003,23,Female,ECE,5,76.9,68.6,96.7,79.3,14,15.7,72.2,40,21.0,55,74.4,7.24,0,0,12.0,No,67.1,80.7,Excellent,Low
STU100004,22,Male,ECE,4,89.0,78.8,52.1,49.8,12,18.6,52.0,19,18.0,51,67.9,7.53,0,1,16.0,Yes,72.0,56.7,Average,Medium
STU100005,23,Female,MECH,4,62.0,47.7,47.7,35.3,10,7.6,59.9,23,2.0,1,71.3,4.29,3,3,6.0,Yes,46.1,40.4,Poor,High
STU100006,22,Female,CIVIL,8,51.8,44.6,42.7,45.3,4,8.9,45.1,10,5.0,23,37.8,6.27,3,7,5.0,Yes,51.4,27.7,Poor,High
STU100007,20,Male,AI&DS,3,83.1,66.7,66.1,61.7,10,10.5,48.9,32,17.0,39,68.7,6.96,1,3,8.0,No,68.0,59.6,Average,Medium
STU100008,19,Male,CIVIL,7,70.7,56.4,56.6,54.5,7,12.7,49.2,20,14.0,33,63.4,6.41,2,6,9.0,No,62.1,44.8,Poor,High
STU100009,20,Female,CSE,8,75.8,68.8,61.9,44.2,12,9.0,56.8,24,20.0,30,67.4,5.89,1,3,7.0,Yes,63.4,56.6,Average,Medium
STU100010,23,Male,ECE,8,56.3,45.2,52.7,42.0,8,5.5,46.5,16,16.0,26,43.2,6.34,0,6,1.0,Yes,43.4,36.5,Poor,High
STU100011,22,Female,AI&DS,2,61.9,72.5,72.6,66.1,12,12.9,68.8,28,18.0,53,65.6,8.02,0,0,11.0,No,72.2,58.5,Average,Medium
STU100012,22,Female,ECE,6,59.8,76.1,69.2,55.5,8,16.1,59.3,21,15.0,36,54.6,7.65,1,0,7.0,Yes,71.0,53.8,Average,Medium
